date,yyyy,mm,tmax,tmin,af_days,rain_mm,sun_hours,temp_range,avg_temp,season,days_in_month,monthly_temp_variation,frost_day_props
1853-01-01,1853,01,8.4,2.7,4.0,62.8,97.58,5.7,5.550000000000001,1,31,2.11,0.13
1853-02-01,1853,02,3.2,-1.8,19.0,29.3,84.47999999999999,5.0,0.7000000000000001,1,28,-2.78,0.68
1853-03-01,1853,03,7.7,-0.6,20.0,25.9,82.6,8.3,3.5500000000000003,2,31,-13.83,0.65
1853-04-01,1853,04,12.6,4.5,0.0,60.1,97.58,8.1,8.55,2,30,1.8,0.0
1853-05-01,1853,05,16.8,6.1,0.0,59.5,129.1,10.700000000000001,11.45,2,31,1.75,0.0
1853-06-01,1853,06,20.1,10.7,0.0,82.0,135.61999999999998,9.400000000000002,15.4,3,30,0.88,0.0
1853-07-01,1853,07,21.2,12.2,0.0,86.2,137.14,9.0,16.7,3,31,0.74,0.0
1853-08-01,1853,08,20.2,10.8,0.0,72.3,122.23999999999998,9.399999999999999,15.5,3,31,0.87,0.0
1853-09-01,1853,09,17.3,8.4,0.0,51.3,161.68,8.9,12.850000000000001,4,30,1.06,0.0
1853-10-01,1853,10,13.9,7.4,0.0,102.3,106.7,6.5,10.65,4,31,0.88,0.0
1853-11-01,1853,11,8.7,2.3,10.0,49.6,132.14,6.3999999999999995,5.5,4,30,2.78,0.33
1853-12-01,1853,12,3.7,-1.3,19.0,10.7,98.22,5.0,1.2000000000000002,1,31,-3.85,0.61
1854-01-01,1854,01,6.7,1.5,11.0,54.5,117.32,5.2,4.1,1,31,3.47,0.35
1854-02-01,1854,02,8.0,0.6,12.0,22.6,82.6,7.4,4.3,1,28,12.33,0.43
1854-03-01,1854,03,11.2,2.2,8.0,10.6,142.88,9.0,6.699999999999999,2,31,4.09,0.26
1854-04-01,1854,04,15.0,3.5,2.0,19.9,196.68,11.5,9.25,2,30,3.29,0.07
1854-05-01,1854,05,16.2,5.7,1.0,82.1,113.86,10.5,10.95,2,31,1.84,0.03
1854-06-01,1854,06,18.6,9.7,0.0,45.2,189.46,8.900000000000002,14.15,3,30,0.92,0.0
1854-07-01,1854,07,21.7,11.6,0.0,37.2,198.38,10.1,16.65,3,31,0.87,0.0
1854-08-01,1854,08,20.9,10.7,0.0,45.4,189.46,10.2,15.799999999999999,3,31,0.95,0.0
1854-09-01,1854,09,20.2,8.4,0.0,11.4,207.56000000000003,11.799999999999999,14.3,4,30,1.4,0.0
1854-10-01,1854,10,13.9,5.6,2.0,57.7,129.1,8.3,9.75,4,31,1.48,0.06
1854-11-01,1854,11,8.2,2.0,5.0,32.4,163.82,6.199999999999999,5.1,4,30,3.1,0.17
1854-12-01,1854,12,8.3,2.1,8.0,30.7,163.82,6.200000000000001,5.2,1,31,2.95,0.26
1855-01-01,1855,01,4.4,-0.4,18.0,6.9,101.04,4.800000000000001,2.0,1,31,-12.0,0.58
1855-02-01,1855,02,1.7,-4.5,20.0,33.7,84.47999999999999,6.2,-1.4,1,28,-1.38,0.71
1855-03-01,1855,03,7.7,0.1,15.0,56.0,117.31999999999998,7.6000000000000005,3.9,2,31,76.0,0.48
1855-04-01,1855,04,13.0,2.7,9.0,10.6,142.88000000000002,10.3,7.85,2,30,3.81,0.3
1855-05-01,1855,05,15.0,4.9,3.0,45.1,168.36,10.1,9.95,2,31,2.06,0.1
1855-06-01,1855,06,19.4,9.3,0.0,60.0,129.1,10.099999999999998,14.35,3,30,1.09,0.0
1855-07-01,1855,07,22.8,13.4,0.0,129.3,98.7,9.4,18.1,3,31,0.7,0.0
1855-08-01,1855,08,21.7,12.2,0.0,42.6,197.82,9.5,16.95,3,31,0.78,0.0
1855-09-01,1855,09,19.0,10.4,0.0,59.7,129.1,8.6,14.7,4,30,0.83,0.0
1855-10-01,1855,10,14.0,8.2,0.0,143.1,78.02,5.800000000000001,11.1,4,31,0.71,0.0
1855-11-01,1855,11,7.9,3.4,4.0,25.2,177.14,4.5,5.65,4,30,1.32,0.13
1855-12-01,1855,12,5.7,-0.1,13.0,28.1,119.92,5.8,2.8000000000000003,1,31,-58.0,0.42
1856-01-01,1856,01,6.8,2.0,10.0,74.7,85.2,4.8,4.4,1,31,2.4,0.32
1856-02-01,1856,02,8.2,3.0,8.0,33.4,149.88000000000002,5.199999999999999,5.6,1,29,1.73,0.28
1856-03-01,1856,03,7.9,0.6,11.0,23.9,119.92,7.300000000000001,4.25,2,31,12.17,0.35
1856-04-01,1856,04,12.9,4.1,2.0,64.9,97.58,8.8,8.5,2,30,2.15,0.07
1856-05-01,1856,05,14.0,5.7,2.0,110.1,81.39999999999999,8.3,9.85,2,31,1.46,0.06
1856-06-01,1856,06,20.2,9.5,0.0,64.8,129.1,10.7,14.85,3,30,1.13,0.0
1856-07-01,1856,07,22.2,11.3,0.0,15.8,207.56,10.899999999999999,16.75,3,31,0.96,0.0
1856-08-01,1856,08,22.7,12.5,0.0,81.8,135.61999999999998,10.2,17.6,3,31,0.82,0.0
1856-09-01,1856,09,16.8,8.5,0.0,80.3,113.86,8.3,12.65,4,30,0.98,0.0
1856-10-01,1856,10,13.9,6.9,1.0,60.3,129.1,7.0,10.4,4,31,1.01,0.03
1856-11-01,1856,11,8.1,2.3,8.0,24.2,148.82000000000002,5.8,5.199999999999999,4,30,2.52,0.27
1856-12-01,1856,12,7.3,1.4,12.0,52.0,117.32,5.9,4.35,1,31,4.21,0.39
1857-01-01,1857,01,5.1,-0.6,17.0,80.7,74.03999999999999,5.699999999999999,2.25,1,31,-9.5,0.55
1857-02-01,1857,02,7.6,0.4,11.0,8.2,101.04,7.199999999999999,4.0,1,28,18.0,0.39
1857-03-01,1857,03,9.1,1.8,10.0,39.2,120.56000000000002,7.3,5.45,2,31,4.06,0.32
1857-04-01,1857,04,11.9,3.7,3.0,51.3,132.14,8.2,7.800000000000001,2,30,2.22,0.1
1857-05-01,1857,05,16.5,6.3,4.0,30.3,198.38,10.2,11.4,2,31,1.62,0.13
1857-06-01,1857,06,22.0,10.6,0.0,77.0,133.90000000000003,11.4,16.3,3,30,1.08,0.0
1857-07-01,1857,07,22.0,12.7,0.0,80.5,135.61999999999998,9.3,17.35,3,31,0.73,0.0
